Date,Price
04/09/2021,168.61
04/08/2021,164.97
04/07/2021,163.97
04/06/2021,161.19
04/05/2021,161.34
04/01/2021,158.05
03/31/2021,154.7
03/30/2021,152.76
03/29/2021,153.79
03/26/2021,152.6
03/25/2021,152.31
03/24/2021,154.35
03/23/2021,156.88
03/22/2021,155.54
03/19/2021,153.75
03/18/2021,151.4
03/17/2021,156.79
03/16/2021,154.59
03/15/2021,154.08
03/12/2021,154.47
03/11/2021,155.68
03/10/2021,152.88
03/09/2021,153.14
03/08/2021,147.6
03/05/2021,150.02
03/04/2021,148.88
03/03/2021,150.25
03/02/2021,154.73
03/01/2021,157.31
02/26/2021,154.65
02/25/2021,152.86
02/24/2021,157.98
02/23/2021,159.72
02/22/2021,159.04
02/19/2021,162.5
02/18/2021,166.41
02/17/2021,165.43
02/16/2021,163.45
02/12/2021,163.89
02/11/2021,163.11
02/10/2021,164.33
02/09/2021,165.25
02/08/2021,166.15
02/05/2021,167.61
02/04/2021,166.55
02/03/2021,165.63
02/02/2021,169
02/01/2021,167.14
01/29/2021,160.31
01/28/2021,161.88
01/27/2021,161.63
01/26/2021,166.31
01/25/2021,164.7
01/22/2021,164.61
01/21/2021,165.35
01/20/2021,163.17
01/19/2021,156.04
01/15/2021,155.21
01/14/2021,156.37
01/13/2021,158.29
01/12/2021,156.04
01/11/2021,155.71
01/08/2021,159.13
01/07/2021,158.11
01/06/2021,156.92
01/05/2021,160.93
01/04/2021,159.33
12/31/2020,162.85
12/30/2020,164.29
12/29/2020,166.1
12/28/2020,164.2
12/24/2020,158.63
12/23/2020,159.26
12/22/2020,160.33
12/21/2020,160.31
12/18/2020,160.08
12/17/2020,161.8
12/16/2020,162.05
12/15/2020,158.26
12/14/2020,157.85
12/11/2020,155.82
12/10/2020,155.07
12/09/2020,155.21
12/08/2020,158.86
12/07/2020,157.9
12/04/2020,158.13
12/03/2020,159.34
12/02/2020,160.18
12/01/2020,161
11/30/2020,158.4
11/27/2020,159.77
11/25/2020,159.25
11/24/2020,155.9
11/23/2020,154.92
11/20/2020,154.97
11/19/2020,155.85
11/18/2020,155.27
11/17/2020,156.78
11/16/2020,156.55
11/13/2020,156.44
11/12/2020,155.51
11/11/2020,156.87
11/10/2020,151.75
11/09/2020,157.19
11/06/2020,165.57
11/05/2020,166.1
11/04/2020,162.06
11/03/2020,152.42
11/02/2020,150.22
10/30/2020,151.81
10/29/2020,160.55
10/28/2020,158.14
10/27/2020,164.32
10/26/2020,160.35
10/23/2020,160.22
10/22/2020,158.82
10/21/2020,159.25
10/20/2020,160.85
10/19/2020,160.36
10/16/2020,163.64
10/15/2020,166.93
10/14/2020,168.19
10/13/2020,172.18
10/12/2020,172.15
10/09/2020,164.33
10/08/2020,159.53
10/07/2020,159.78
10/06/2020,155
10/05/2020,159.96
10/02/2020,156.25
10/01/2020,161.06
09/30/2020,157.44
09/29/2020,157.24
09/28/2020,158.7
09/25/2020,154.76
09/24/2020,150.99
09/23/2020,149.99
09/22/2020,156.45
09/21/2020,148.02
09/18/2020,147.75
09/17/2020,150.44
09/16/2020,153.91
09/15/2020,157.81
09/14/2020,155.15
09/11/2020,155.81
09/10/2020,158.76
09/09/2020,163.43
09/08/2020,157.49
09/04/2020,164.73
09/03/2020,168.4
09/02/2020,176.57
09/01/2020,174.96
08/31/2020,172.55
08/28/2020,170.09
08/27/2020,170
08/26/2020,172.09
08/25/2020,167.32
08/24/2020,165.37
08/21/2020,164.24
08/20/2020,164.87
08/19/2020,163.02
08/18/2020,165.62
08/17/2020,159.12
08/14/2020,157.4
08/13/2020,158.05
08/12/2020,158.11
08/11/2020,154.03
08/10/2020,157.41
08/07/2020,158.37
08/06/2020,161.25
08/05/2020,160.25
08/04/2020,156.94
08/03/2020,155.59
07/31/2020,158.23
07/30/2020,152.59
07/29/2020,151.68
07/28/2020,150.02
07/27/2020,152.76
07/24/2020,150.45
07/23/2020,149.33
07/22/2020,155
07/21/2020,156.91
07/20/2020,159.84
07/17/2020,148.1
07/16/2020,150
07/15/2020,150.44
07/14/2020,154.2
07/13/2020,155.2
07/10/2020,160
07/09/2020,159.13
07/08/2020,154.06
07/07/2020,150.01
07/06/2020,152.85
07/02/2020,144.51
07/01/2020,143.94
06/30/2020,137.94
06/29/2020,134.02
06/26/2020,134.64
06/25/2020,137.73
