Date,Price
04/20/2020,8.13
04/17/2020,8.24
04/16/2020,7.83
04/15/2020,8.09
04/14/2020,8.73
04/13/2020,8.65
04/09/2020,8.87
04/08/2020,8.47
04/07/2020,8.39
04/06/2020,8.31
04/03/2020,7.74
04/02/2020,7.89
04/01/2020,7.67
03/31/2020,8.09
03/30/2020,8.38
03/27/2020,8.33
03/26/2020,8.89
03/25/2020,8.26
03/24/2020,7.83
03/23/2020,6.73
03/20/2020,7
03/19/2020,7.5
03/18/2020,6.85
03/17/2020,7.24
03/16/2020,6.67
03/13/2020,8.16
03/12/2020,7.71
03/11/2020,9.07
03/10/2020,9.65
03/09/2020,8.93
03/06/2020,10.35
03/05/2020,10.58
03/04/2020,11.21
03/03/2020,10.93
03/02/2020,11.37
02/28/2020,11.28
02/27/2020,11.59
02/26/2020,12.19
02/25/2020,12.37
02/24/2020,12.83
02/21/2020,13.62
02/20/2020,13.74
02/19/2020,13.76
02/18/2020,13.65
02/14/2020,13.62
02/13/2020,13.65
02/12/2020,13.63
02/11/2020,13.44
02/10/2020,13.18
02/07/2020,13.06
02/06/2020,13.09
02/05/2020,12.98
02/04/2020,12.71
02/03/2020,12.52
01/31/2020,12.61
01/30/2020,13
01/29/2020,13.03
01/28/2020,13.01
01/27/2020,13.12
01/24/2020,13.46
01/23/2020,13.54
01/22/2020,13.58
01/21/2020,13.64
01/17/2020,13.87
01/16/2020,13.94
01/15/2020,13.84
01/14/2020,14.02
01/13/2020,13.92
01/10/2020,13.74
01/09/2020,13.95
01/08/2020,13.92
01/07/2020,13.79
01/06/2020,13.53
01/03/2020,13.48
01/02/2020,13.75
12/31/2019,13.45
12/30/2019,13.43
12/27/2019,13.41
12/26/2019,13.26
12/24/2019,13.22
12/23/2019,13.24
12/20/2019,13.24
12/19/2019,13.54
12/18/2019,13.61
12/17/2019,13.63
12/16/2019,13.5
12/13/2019,13.34
12/12/2019,13.31
12/11/2019,12.95
12/10/2019,13.06
12/09/2019,13.12
12/06/2019,13.08
12/05/2019,12.99
12/04/2019,12.94
12/03/2019,12.83
12/02/2019,13.11
11/29/2019,13.09
11/27/2019,13.29
11/26/2019,13.27
11/25/2019,13.33
11/22/2019,13.27
11/21/2019,13.15
11/20/2019,13.01
11/19/2019,13.05
11/18/2019,13.01
11/15/2019,13.02
11/14/2019,12.85
11/13/2019,12.85
11/12/2019,13.04
11/11/2019,13.09
11/08/2019,13.06
11/07/2019,13.13
11/06/2019,12.98
11/05/2019,13.04
11/04/2019,13.07
11/01/2019,12.62
10/31/2019,12.38
10/30/2019,12.53
10/29/2019,12.71
10/28/2019,12.69
10/25/2019,12.57
10/24/2019,12.5
10/23/2019,12.6
10/22/2019,12.47
10/21/2019,12.49
10/18/2019,12.33
10/17/2019,12.29
10/16/2019,12.32
10/15/2019,12.19
10/14/2019,11.98
10/11/2019,11.94
10/10/2019,11.62
10/09/2019,11.42
10/08/2019,11.43
10/07/2019,11.48
10/04/2019,11.55
10/03/2019,11.49
10/02/2019,11.59
10/01/2019,11.88
09/30/2019,12.21
09/27/2019,12.16
09/26/2019,12.19
09/25/2019,12.24
09/24/2019,12.4
09/23/2019,12.59
09/20/2019,12.82
09/19/2019,12.86
09/18/2019,12.78
09/17/2019,12.78
09/16/2019,12.95
09/13/2019,13.12
09/12/2019,12.98
09/11/2019,13.04
09/10/2019,12.9
09/09/2019,12.59
09/06/2019,12.23
09/05/2019,12.16
09/04/2019,11.84
09/03/2019,11.63
08/30/2019,11.68
08/29/2019,11.53
08/28/2019,11.35
08/27/2019,11.31
08/26/2019,11.41
08/23/2019,11.29
08/22/2019,11.48
08/21/2019,11.34
08/20/2019,11.28
08/19/2019,11.39
08/16/2019,11.27
08/15/2019,11
08/14/2019,10.96
08/13/2019,11.39
08/12/2019,11.29
08/09/2019,11.58
08/08/2019,11.58
08/07/2019,11.43
08/06/2019,11.5
08/05/2019,11.37
08/02/2019,11.74
08/01/2019,11.83
07/31/2019,12.07
07/30/2019,11.93
07/29/2019,12
07/26/2019,12.05
07/25/2019,12.13
07/24/2019,12.48
07/23/2019,12.61
07/22/2019,12.31
07/19/2019,12.24
07/18/2019,12.43
07/17/2019,12.32
07/16/2019,12.37
07/15/2019,12.27
07/12/2019,12.31
07/11/2019,12.2
07/10/2019,12.01
