Date,Price
10/23/2020,75.77
10/22/2020,75.57
10/21/2020,74.42
10/20/2020,75.25
10/19/2020,74.89
10/16/2020,76.4
10/15/2020,74.61
10/14/2020,75.16
10/13/2020,75.37
10/12/2020,76.42
10/09/2020,75.73
10/08/2020,75.26
10/07/2020,74.28
10/06/2020,72.57
10/05/2020,71.98
10/02/2020,70.29
10/01/2020,70.69
09/30/2020,69.39
09/29/2020,70.78
09/28/2020,71.04
09/25/2020,70.46
09/24/2020,69.39
09/23/2020,68.33
09/22/2020,69.51
09/21/2020,69.05
09/18/2020,69.23
09/17/2020,69.88
09/16/2020,70.09
09/15/2020,73.93
09/14/2020,70.48
09/11/2020,69.54
09/10/2020,69.23
09/09/2020,70.59
09/08/2020,69.48
09/04/2020,69.33
09/03/2020,70.15
09/02/2020,72.07
09/01/2020,69.28
08/31/2020,69.79
08/28/2020,69.89
08/27/2020,69.72
08/26/2020,69.75
08/25/2020,70.33
08/24/2020,70.66
08/21/2020,70.6
08/20/2020,70.53
08/19/2020,70.58
08/18/2020,70.76
08/17/2020,70.75
08/14/2020,70.13
08/13/2020,71.1
08/12/2020,71.15
08/11/2020,69.45
08/10/2020,70.91
08/07/2020,71.94
08/06/2020,70.7
08/05/2020,70.94
08/04/2020,71.26
08/03/2020,69.4
07/31/2020,70.18
07/30/2020,70.58
07/29/2020,70.36
07/28/2020,70.01
07/27/2020,69.41
07/24/2020,70.06
07/23/2020,70.24
07/22/2020,70.11
07/21/2020,69.08
07/20/2020,68.58
07/17/2020,68.85
07/16/2020,67.1
07/15/2020,64.75
07/14/2020,65.64
07/13/2020,64.06
07/10/2020,64.9
07/09/2020,63
07/08/2020,63.32
07/07/2020,61.68
07/06/2020,61.74
07/02/2020,61.6
07/01/2020,61.56
06/30/2020,60.04
06/29/2020,59.56
06/26/2020,59.06
06/25/2020,59.79
06/24/2020,60.42
06/23/2020,60.8
06/22/2020,61.76
06/19/2020,60.55
06/18/2020,62.23
06/17/2020,62.25
06/16/2020,62.04
06/15/2020,62.14
06/12/2020,61.73
06/11/2020,62.08
06/10/2020,64.2
06/09/2020,64.67
06/08/2020,65.12
06/05/2020,63.6
06/04/2020,62.97
06/03/2020,64.89
06/02/2020,64.15
06/01/2020,63.91
05/29/2020,63.89
05/28/2020,62.84
05/27/2020,60.28
05/26/2020,58.58
05/22/2020,58.46
05/21/2020,57.23
05/20/2020,58.2
05/19/2020,57.62
05/18/2020,58.86
05/15/2020,56.96
05/14/2020,58.06
05/13/2020,57.53
05/12/2020,56.98
05/11/2020,56.84
05/08/2020,57.43
05/07/2020,56.12
05/06/2020,55.66
05/05/2020,57.52
05/04/2020,57.52
05/01/2020,56.76
04/30/2020,57.78
04/29/2020,58.78
04/28/2020,59.83
04/27/2020,60.9
04/24/2020,59.92
04/23/2020,60.28
04/22/2020,61.79
04/21/2020,58.85
04/20/2020,59.4
04/17/2020,61.56
04/16/2020,59.37
04/15/2020,59.3
04/14/2020,60.59
04/13/2020,59.05
04/09/2020,61.32
04/08/2020,58.38
04/07/2020,57.12
04/06/2020,58.63
04/03/2020,55.41
04/02/2020,56.61
04/01/2020,54.56
03/31/2020,60.16
03/30/2020,61.5
03/27/2020,57.99
03/26/2020,57.77
03/25/2020,52.57
03/24/2020,51.63
03/23/2020,45.41
03/20/2020,47.94
03/19/2020,51.77
03/18/2020,52.66
03/17/2020,55.44
03/16/2020,50.34
03/13/2020,55.39
03/12/2020,52.22
03/11/2020,60.31
03/10/2020,63.93
03/09/2020,65.32
03/06/2020,67.95
03/05/2020,69.04
03/04/2020,70.56
03/03/2020,66.29
03/02/2020,67.09
